"Protein.Group.","Protein.Accession..","Protein.Description","GN","PSM.","Total.Peptide.","Unique.Peptide.","X..Coverage","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SJPG0104437.001","sp|P04217|A1BG_HUMAN","Alpha-1B-glycoprotein OS=Homo sapiens OX=9606 GN=A1BG PE=1 SV=4","A1BG",15,7,0,19.39,-0.131630127581971,17.3094329335911,-0.859350342038042,0.399489155764736,0.652040458877682,-6.16819091971448
"SJPG0102175.001","sp|P01023|A2MG_HUMAN","Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3","A2M",360,72,52,54.21,-0.159663209545275,20.8922739070819,-0.577448470865727,0.569547001411071,0.780000669654245,-6.37058927799843
"SJPG0110963.001","sp|A8K2U0|A2ML1_HUMAN","Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens OX=9606 GN=A2ML1 PE=1 SV=3","A2ML1",3,2,1,1.03,-0.572861973230555,16.8878205117054,-1.86409496617239,0.0758178875570746,0.272505448274211,-4.89105792351816
"SJPG0103089.001","sp|Q86V21|AACS_HUMAN","Acetoacetyl-CoA synthetase OS=Homo sapiens OX=9606 GN=AACS PE=1 SV=1","AACS",55,22,0,30.51,0.332261081087065,19.3976112886046,1.72954488312708,0.0978332164705223,0.310260488417133,-5.10612558290737
"SJPG0104886.001","sp|Q8N5Z0|AADAT_HUMAN","Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=AADAT PE=1 SV=2","AADAT",1,1,0,2.12,-0.381363017330068,15.6248174793805,-3.04779171378877,0.00593789948909559,0.0697639203982858,-2.59210660833958
"SJPG0106439.001","sp|Q6PD74|AAGAB_HUMAN","Alpha- and gamma-adaptin-binding protein p34 OS=Homo sapiens OX=9606 GN=AAGAB PE=1 SV=1","AAGAB",8,4,1,11.75,0.0941526013283571,18.1225150203961,0.566495289762024,0.576837567852216,0.784738819850836,-6.37691056193929
"SJPG0101642.001","sp|Q2M2I8|AAK1_HUMAN","AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3","AAK1",221,44,9,60.25,0.131935382502299,21.0569184621583,1.16078683211508,0.258269736945995,0.51375933988728,-5.87077798558774
"SJPG0102147.001","sp|Q9H7C9|AAMDC_HUMAN","Mth938 domain-containing protein OS=Homo sapiens OX=9606 GN=AAMDC PE=1 SV=1","AAMDC",7,6,0,43.44,-0.261610463461086,17.5082421652857,-1.19844962848012,0.243595649749667,0.497384054899839,-5.82804896433741
"SJPG0105958.001","sp|Q13685|AAMP_HUMAN","Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2","AAMP",29,11,0,36.4,0.12732980514814,18.335936111676,1.43420152310264,0.165690120717572,0.404794041052054,-5.53416096078121
"SJPG0106590.001","sp|Q9Y312|AAR2_HUMAN","Protein AAR2 homolog OS=Homo sapiens OX=9606 GN=AAR2 PE=1 SV=2","AAR2",1,1,1,1.82,-0.0414624855187604,17.5085700262573,-0.392928181701102,0.698184594169654,0.857548989045162,-6.46127036806686
"SJPG0102067.001","sp|P49588|SYAC_HUMAN","Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2","AARS1",484,70,2,66.42,-0.00174168447523471,23.1006194642219,-0.0123529537102681,0.990256258310881,0.995638050763772,-6.53999101209469
"SJPG0104141.001","sp|Q5JTZ9|SYAM_HUMAN","Alanine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=AARS2 PE=1 SV=1","AARS2",80,31,29,41.01,0.00987754476669878,19.1370535334625,0.072260435837342,0.943052851967642,0.977293531508716,-6.53739490837519
"SJPG0101793.001","sp|Q9BTE6|AASD1_HUMAN","Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens OX=9606 GN=AARSD1 PE=1 SV=2","AARSD1",70,19,0,65.29,0.173567812466565,19.6490606355751,1.18949750431829,0.24702557114372,0.500617063602226,-5.83831362888997
"SJPG0103149.001","sp|Q9NRN7|ADPPT_HUMAN","L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2","AASDHPPT",73,16,9,44.98,-0.0480708005394135,20.135340844902,-0.573946716540411,0.571872688813367,0.781442276742968,-6.37262297101957
"SJPG0105195.001","sp|Q9UDR5|AASS_HUMAN","Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens OX=9606 GN=AASS PE=1 SV=1","AASS",4,4,3,4.75,-0.335125071294613,16.06106138103,-1.55219235252014,0.134999222494979,0.364150549941305,-5.37076549171962
"SJPG0109338.001","sp|Q9NY61|AATF_HUMAN","Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1","AATF",2,2,2,7.14,0.160343887432461,16.2269329090835,1.33940514694363,0.194222702544203,0.441806467096153,-5.65769675960472
"SJPG0104109.001","sp|Q6ZMQ8|LMTK1_HUMAN","Serine/threonine-protein kinase LMTK1 OS=Homo sapiens OX=9606 GN=AATK PE=1 SV=2","AATK",27,14,3,13.68,0.216563382303484,18.0130973899617,1.75316296802226,0.093612114976227,0.303487665813356,-5.06923818953984
"SJPG0101595.001","sp|P80404|GABT_HUMAN","4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3","ABAT",142,36,0,64,-0.0773077684920871,20.8568317900406,-0.526447027642995,0.603887844603079,0.80094313564269,-6.39902139747245
"SJPG0110913.001","sp|O95477|ABCA1_HUMAN","Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3","ABCA1",4,2,1,0.97,-0.168057603926542,17.0863569556273,-1.23320907997049,0.23061704928678,0.481615546136308,-5.78755778738194
"SJPG0110976.002","sp|Q8WWZ4-2|ABCAA_HUMAN","Isoform 2 of ATP-binding cassette sub-family A member 10 OS=Homo sapiens OX=9606 GN=ABCA10","ABCA10",1,1,1,0.46,-0.336986726807375,18.1146330719899,-1.19675575554063,0.244241881567394,0.4979374036517,-5.82999635126429
"SJPG0110978.001","sp|Q86UK0|ABCAC_HUMAN","ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3","ABCA12",1,1,0,0.46,-0.235070701246048,16.7319848807646,-2.04278326819915,0.0533372695385651,0.229193499188433,-4.58785407211653
"SJPG0110944.001","sp|Q86UQ4|ABCAD_HUMAN","ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=2 SV=3","ABCA13",5,2,0,0.4,-0.123440542029183,18.4514702785611,-0.936187374034183,0.35942228736714,0.617930357427689,-6.10009593614001
"SJPG0104938.001","sp|Q9BZC7|ABCA2_HUMAN","ATP-binding cassette sub-family A member 2 OS=Homo sapiens OX=9606 GN=ABCA2 PE=1 SV=4","ABCA2",78,42,0,20.33,-0.105867430245056,18.8642338839951,-0.875630729042285,0.390767260131089,0.644754152120045,-6.15421486662534
"SJPG0107029.001","sp|Q99758|ABCA3_HUMAN","ATP-binding cassette sub-family A member 3 OS=Homo sapiens OX=9606 GN=ABCA3 PE=1 SV=2","ABCA3",38,25,0,18.43,0.185065387294937,18.3223027926932,2.08110919986588,0.0493710098031953,0.220430843523439,-4.52036711696684
"SJPG0104850.001","sp|Q8WWZ7|ABCA5_HUMAN","ATP-binding cassette sub-family A member 5 OS=Homo sapiens OX=9606 GN=ABCA5 PE=2 SV=2","ABCA5",2,2,0,1.16,0.122203617519807,15.6549265818754,1.37380571145358,0.183450692944591,0.428776465548633,-5.61368291457106
"SJPG0108896.001","sp|Q8IZY2|ABCA7_HUMAN","Phospholipid-transporting ATPase ABCA7 OS=Homo sapiens OX=9606 GN=ABCA7 PE=1 SV=3","ABCA7",1,1,0,0.84,-0.194465684498091,15.3505431692258,-1.56264896334069,0.13252157800969,0.360744689020198,-5.35578505218195
"SJPG0106008.001","sp|O94911|ABCA8_HUMAN","ATP-binding cassette sub-family A member 8 OS=Homo sapiens OX=9606 GN=ABCA8 PE=1 SV=3","ABCA8",15,10,0,8.41,-0.201909734412016,17.562475850289,-1.56330147891421,0.132368224040783,0.36053554921516,-5.35484759006015
"SJPG0103799.001","sp|P08183|MDR1_HUMAN","ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3","ABCB1",20,13,1,10.39,-0.446266732363672,17.8567725700179,-2.62080476499275,0.0156699768113282,0.118153359041432,-3.49063080703536
"SJPG0104660.001","sp|Q9NRK6|ABCBA_HUMAN","ATP-binding cassette sub-family B member 10, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB10 PE=1 SV=2","ABCB10",2,2,2,4.2,0.0464580189230528,15.4632538621577,0.225163482886711,0.823947256115168,0.924323174547143,-6.51413108054888
"SJPG0109543.001","sp|O95342|ABCBB_HUMAN","Bile salt export pump OS=Homo sapiens OX=9606 GN=ABCB11 PE=1 SV=2","ABCB11",1,1,1,0.76,-0.785642577689433,17.560991923901,-2.48532111965751,0.0211009465861033,0.138823923418861,-3.761797036951
"SJPG0109676.001","sp|P21439|MDR3_HUMAN","Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2","ABCB4",8,4,0,2.49,-0.134292887971398,18.5709286314278,-0.988191839912932,0.333889628231588,0.593808110127144,-6.05096510488339
"SJPG0110598.001","sp|Q2M3G0|ABCB5_HUMAN","ATP-binding cassette sub-family B member 5 OS=Homo sapiens OX=9606 GN=ABCB5 PE=1 SV=4","ABCB5",3,2,0,1.67,-0.232330031077993,17.7524143038129,-2.43153614777403,0.0237083923543013,0.146704087309278,-3.86727664530135
"SJPG0104929.001","sp|O75027|ABCB7_HUMAN","ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2","ABCB7",59,22,0,32.98,-0.138034671959879,19.7245298614613,-0.634768776430608,0.532178556851904,0.754923602050001,-6.33560042660518
"SJPG0103741.001","sp|Q9NUT2|MITOS_HUMAN","Mitochondrial potassium channel ATP-binding subunit OS=Homo sapiens OX=9606 GN=ABCB8 PE=1 SV=3","ABCB8",4,2,0,2.86,-0.422753308721653,19.4931745745984,-1.39599615216669,0.176756986323205,0.420048261090215,-5.58479575445307
"SJPG0103886.001","sp|Q9NP78|ABCB9_HUMAN","ATP-binding cassette sub-family B member 9 OS=Homo sapiens OX=9606 GN=ABCB9 PE=1 SV=1","ABCB9",25,13,0,22.45,-0.10020022336105,18.5344563019883,-0.958882994737053,0.348121793287527,0.607485901442687,-6.07895392487164
"SJPG0110789.001","sp|Q92887|MRP2_HUMAN","Canalicular multispecific organic anion transporter 1 OS=Homo sapiens OX=9606 GN=ABCC2 PE=1 SV=3","ABCC2",2,2,0,1.17,-0.362337231333704,17.2197212352667,-1.51543000893319,0.144015346087415,0.375017749794862,-5.42279342247531
"SJPG0108286.001","sp|O15440|MRP5_HUMAN","Multidrug resistance-associated protein 5 OS=Homo sapiens OX=9606 GN=ABCC5 PE=1 SV=2","ABCC5",10,8,0,6.26,0.206027733782523,17.3407698868443,2.29156874115823,0.0319561226676607,0.173978938393622,-4.13553456919806
"SJPG0109704.001","sp|O60706|ABCC9_HUMAN","ATP-binding cassette sub-family C member 9 OS=Homo sapiens OX=9606 GN=ABCC9 PE=1 SV=2","ABCC9",3,3,0,2.58,-0.200236692526843,16.3096210004627,-1.99568976724918,0.0585989261025017,0.24191749007784,-4.66962124720802
"SJPG0108629.001","sp|P33897|ABCD1_HUMAN","ATP-binding cassette sub-family D member 1 OS=Homo sapiens OX=9606 GN=ABCD1 PE=1 SV=2","ABCD1",8,5,2,8.59,0.173193366695806,17.0291287407659,1.72737626198949,0.0982288330562197,0.31106272634678,-5.10949373767957
"SJPG0103733.001","sp|Q9UBJ2|ABCD2_HUMAN","ATP-binding cassette sub-family D member 2 OS=Homo sapiens OX=9606 GN=ABCD2 PE=1 SV=1","ABCD2",29,16,13,26.22,0.229162562724316,18.1398255364725,1.45056933204114,0.161122643696784,0.398710890655025,-5.51212337481201
"SJPG0103005.001","sp|P28288|ABCD3_HUMAN","ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1","ABCD3",90,24,0,38.69,0.0445703952832766,19.6835788238825,0.578578149356809,0.568797757817178,0.779585412128308,-6.36993064330143
"SJPG0102197.001","sp|P61221|ABCE1_HUMAN","ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1","ABCE1",66,25,25,46.08,-0.218554712318262,18.9467476341896,-2.0512344147197,0.0524389804872592,0.227152246425343,-4.57304464781168
"SJPG0102760.001","sp|Q8NE71|ABCF1_HUMAN","ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2","ABCF1",71,23,0,30.06,0.0828530257878839,18.8371439235686,0.968312562374559,0.343498451966466,0.604253569182056,-6.07003321190428
"SJPG0102081.001","sp|Q9UG63|ABCF2_HUMAN","ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2","ABCF2",68,26,0,35.79,0.217235959671793,19.7478286046518,2.05699791505093,0.0518341482452688,0.226059087327266,-4.56292148790963
"SJPG0103942.001","sp|Q9NUQ8|ABCF3_HUMAN","ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2","ABCF3",84,31,0,45.84,0.189043941648784,19.7365282823658,1.18807876761502,0.247572453269989,0.501352611070336,-5.83993419389948
"SJPG0104913.001","sp|Q9UNQ0|ABCG2_HUMAN","Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Homo sapiens OX=9606 GN=ABCG2 PE=1 SV=3","ABCG2",3,3,0,4.73,-0.147921127821796,16.6109004126766,-1.21471649020916,0.237454987486462,0.490335554652442,-5.80922518829724
