Protein Group#,Protein Accession #,Protein Description,GN,PSM#,Total Peptide#,Unique Peptide#,% Coverage,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,Ctrl8,Ctrl9,Ctrl10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10
SJPG0100106.001,sp|P37840|SYUA_HUMAN,Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1,SNCA,181,13,0,89.28,23280269.8,34951747.57,22903987.67,32381897.08,16320147.31,37716921.44,21071308.08,25770037.11,44133693.81,25381713.57,13173133.37,22854604.8,29641226.65,37519248.18,20969445.2,30374104.11,11759113.99,28284878.98,51064512.74,55360902.97
SJPG0107164.001,sp|Q8IY57|YAF2_HUMAN,YY1-associated factor 2 OS=Homo sapiens OX=9606 GN=YAF2 PE=1 SV=3,YAF2,4,2,0,27.22,121972.65,102376.51,86775.07,94366.26,106199,104855.83,117543.4,122598.47,121475.08,113771.38,141833.12,116934.36,81450.33,85231.47,103724.05,113827.91,122300.73,109663.57,122810.25,118364.9
SJPG0107801.001,sp|Q8IYB3|SRRM1_HUMAN,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2,SRRM1,35,15,0,17.7,770585.87,887672.74,896840.24,535218.15,571634.38,1338070.29,685516.66,622474.41,762290.94,581285.58,630334.54,685496.33,544817.1,855561.22,968126.7,1121929.9,1017081.49,1028361.81,961787.27,1012872.22
SJPG0119265.001,sp|Q8N3Z0|PRS35_HUMAN,Inactive serine protease 35 OS=Homo sapiens OX=9606 GN=PRSS35 PE=1 SV=2,PRSS35,3,1,1,3.15,76765.57,91673.52,97960.61,126801.7,54421.37,139455.06,99671.54,94586.1,76302.91,69959.84,76148.62,49535.29,105333.47,85165.46,75504.07,64929.06,49728.5,67364.82,74596.48,100098.44
SJPG0101221.010,tr|A0A590UJU1|A0A590UJU1_HUMAN,Voltage-gated potassium channel subunit beta-2 (Fragment) OS=Homo sapiens OX=9606 GN=KCNAB2 PE=1 SV=1,KCNAB2,9,3,0,21.79,420077.81,457457.73,455131.05,397095.12,350132.28,412271.55,410492.52,515065.8,426352.05,393913.27,407749.61,534704.32,424347.84,420409.31,457897.26,428344.96,386066.47,518117.77,353991.07,533749.68
SJPG0104471.001,sp|Q14722|KCAB1_HUMAN,Voltage-gated potassium channel subunit beta-1 OS=Homo sapiens OX=9606 GN=KCNAB1 PE=1 SV=1,KCNAB1,17,7,0,19.33,298101.04,302226.2,335609.76,378061.31,253567.99,319188.21,272251.43,335566.83,332714.73,288429.39,303757.93,289089.06,292729.78,271440.03,282558.12,310262.32,236512.55,355845.06,254295.83,482339.33
SJPG0103350.010,tr|D6RDB0|D6RDB0_HUMAN,Solute carrier family 41 member 3 (Fragment) OS=Homo sapiens OX=9606 GN=SLC41A3 PE=1 SV=1,SLC41A3,2,1,0,4.51,107348.82,162117.97,163787.94,145855.33,65626.87,129101.09,111546,125281.39,159438.34,101167.47,104605.71,146263.32,143177.22,187465.18,142349.95,203627.58,117525.43,201649.01,139013.54,228066.84
SJPG0104471.008,tr|C9JQ60|C9JQ60_HUMAN,Voltage-gated potassium channel subunit beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=KCNAB1 PE=1 SV=1,KCNAB1,12,3,1,22.6,300574.34,309914.84,347725.18,312683.1,246410.4,301776.37,269017.48,344263.44,330136.28,298137.57,348891.79,326836.16,292396.09,276517.51,310981.47,310735.91,229452.06,381189.53,256651.33,482595.91
SJPG0101093.001,sp|Q08257|QOR_HUMAN,Quinone oxidoreductase OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1,CRYZ,44,15,0,60.79,325781.05,474464.63,469288.52,506549.59,298791.36,621915.99,234733.48,386417,435382.68,337714.55,278343.53,387064.29,299623.81,383372.92,454644.69,480122.9,304475.42,555126.86,432320.77,497248.2
SJPG0100524.001,sp|Q9H902|REEP1_HUMAN,Receptor expression-enhancing protein 1 OS=Homo sapiens OX=9606 GN=REEP1 PE=1 SV=1,REEP1,28,9,0,44.77,732556.91,666506.5,676775.87,662481.32,679556.97,714071.12,757420.67,646373.49,683613.94,759188.14,604414.59,742718.13,720129.82,877291.91,705626.06,701067.41,724179.91,767678.41,824384.59,928003.68
